id,noc,medal
1,DEN,Gold
2,FIN,Bronze
3,FIN,Bronze
4,FIN,Bronze
5,FIN,Bronze
6,FIN,Gold
7,FIN,Gold
8,FIN,Gold
9,FIN,Bronze
10,NOR,Gold
11,NOR,Bronze
12,NOR,Silver
13,NOR,Bronze
14,NOR,Silver
15,NOR,Gold
16,NOR,Gold
17,NOR,Gold
18,NOR,Gold
19,NED,Bronze
20,NED,Silver
21,NOR,Bronze
22,NOR,Gold
23,ITA,Bronze
24,AZE,Bronze
25,RUS,Silver
26,FRA,Gold
27,FRA,Gold
28,FRA,Silver
29,CMR,Gold
30,ESP,Gold
31,ESP,Gold
32,RUS,Silver
33,FRA,Gold
34,HUN,Bronze
35,ITA,Bronze
36,ITA,Gold
37,ITA,Gold
38,ITA,Gold
39,ITA,Gold
40,ITA,Gold
41,ITA,Silver
42,ITA,Gold
43,ITA,Gold
44,ITA,Silver
45,GRE,Bronze
46,AUS,Bronze
47,USA,Bronze
48,USA,Gold
49,USA,Silver
50,USA,Silver
51,CAN,Bronze
52,PAK,Gold
53,PAK,Silver
54,UZB,Gold
55,USA,Gold
56,EUN,Gold
57,JPN,Gold
58,SUI,Silver
59,USA,Silver
60,CAN,Gold
61,GDR,Silver
62,CAN,Bronze
63,NOR,Silver
64,ESP,Gold
65,USA,Gold
66,USA,Gold
67,ETH,Gold
68,SWE,Bronze
69,SWE,Silver
70,USA,Gold
71,RSA,Bronze
72,USA,Gold
73,RUS,Bronze
74,RUS,Silver
75,RUS,Silver
76,RUS,Silver
77,RUS,Bronze
78,URS,Silver
79,URS,Bronze
80,AUS,Bronze
81,GBR,Bronze
82,GBR,Gold
83,GBR,Silver
84,SWE,Bronze
85,SWE,Silver
86,RUS,Bronze
87,URS,Silver
88,RUS,Bronze
89,ESP,Bronze
90,RUS,Bronze
91,JOR,Gold
92,JPN,Bronze
93,ROU,Bronze
94,FRA,Gold
95,SUI,Bronze
96,ESP,Silver
97,PUR,Bronze
98,GHA,Bronze
99,SUI,Silver
100,MAR,Bronze
101,MAR,Bronze
102,URS,Bronze
103,NED,Bronze
104,NED,Silver
105,NZL,Gold
106,GER,Silver
107,GER,Silver
108,GER,Silver
109,SUI,Gold
110,SUI,Bronze
111,SUI,Gold
112,SUI,Silver
113,SUI,Silver
114,ARG,Gold
115,CUB,Bronze
116,URU,Bronze
117,POL,Bronze
118,USA,Gold
119,TCH,Silver
120,CAN,Gold
121,POL,Silver
122,USA,Silver
123,USA,Bronze
124,USA,Silver
125,GBR,Silver
126,GBR,Silver
127,GBR,Gold
128,GBR,Gold
129,USA,Gold
130,USA,Silver
131,USA,Bronze
132,GBR,Bronze
133,NZL,Gold
134,NZL,Gold
135,NZL,Silver
136,GER,Gold
137,GER,Gold
138,POL,Silver
139,GHA,Bronze
140,NGR,Silver
141,NGR,Silver
142,BRA,Silver
143,BRA,Silver
144,NGR,Silver
145,BRA,Gold
146,GER,Silver
147,GHA,Bronze
148,USA,Gold
149,USA,Gold
150,GBR,Silver
151,BRA,Silver
152,GER,Silver
153,AUT,Bronze
154,SWE,Gold
155,SWE,Gold
156,SWE,Silver
157,GBR,Gold
158,GBR,Gold
